code_module,code_presentation,id_student,id_site,date
AAA,2014J,588477,877053,-24
AAA,2014J,588477,877079,-24
AAA,2014J,588477,877038,-24
AAA,2014J,588477,877025,-24
AAA,2014J,588477,877045,-24
AAA,2014J,588477,877030,-24
AAA,2014J,588477,877044,-24
AAA,2014J,569505,877030,-24
AAA,2014J,569505,877053,-24
AAA,2014J,569505,877025,-24
AAA,2014J,570317,877025,-24
AAA,2014J,570317,877079,-24
AAA,2014J,570317,877030,-24
AAA,2014J,570317,877053,-24
AAA,2014J,593846,877025,-24
AAA,2014J,593846,877045,-24
AAA,2014J,593846,877030,-24
AAA,2014J,593846,877211,-24
AAA,2014J,593846,877044,-24
AAA,2014J,593846,877053,-24
AAA,2014J,593846,877040,-24
AAA,2014J,593987,877044,-24
AAA,2014J,593987,877030,-24
AAA,2014J,593987,877045,-24
AAA,2014J,369834,877079,-24
AAA,2014J,369834,877043,-24
AAA,2014J,369834,877237,-24
AAA,2014J,369834,877030,-24
AAA,2014J,369834,877025,-24
AAA,2014J,358182,877030,-24
AAA,2014J,358182,877025,-24
AAA,2014J,358182,877043,-24
AAA,2014J,358182,877038,-24
AAA,2014J,358182,877076,-24
AAA,2014J,358182,877069,-24
AAA,2014J,358182,877045,-24
AAA,2014J,358182,877079,-24
AAA,2014J,358182,877066,-24
AAA,2014J,358182,877053,-24
AAA,2014J,358182,877044,-24
AAA,2014J,350156,877053,-24
AAA,2014J,350156,877079,-24
AAA,2014J,350156,877030,-24
AAA,2014J,351336,877030,-24
AAA,2014J,351336,877025,-24
AAA,2014J,351336,877043,-24
AAA,2014J,351336,877038,-24
AAA,2014J,351336,877053,-24
AAA,2014J,351336,877142,-24
AAA,2014J,351336,877045,-24
AAA,2014J,351336,877066,-24
AAA,2014J,351336,877069,-24
AAA,2014J,351336,877387,-24
AAA,2014J,351336,877079,-24
AAA,2014J,350939,877030,-24
AAA,2014J,350939,877053,-24
AAA,2014J,353665,877025,-24
AAA,2014J,354170,877043,-24
AAA,2014J,354170,877025,-24
AAA,2014J,354170,877079,-24
AAA,2014J,354170,877069,-24
AAA,2014J,354170,877038,-24
AAA,2014J,354170,877066,-24
AAA,2014J,354170,877030,-24
AAA,2014J,353665,877030,-24
AAA,2014J,381642,877079,-24
AAA,2014J,381642,877074,-24
AAA,2014J,381642,877069,-24
AAA,2014J,381642,877030,-24
AAA,2014J,381642,877044,-24
AAA,2014J,381642,877043,-24
AAA,2014J,381642,877066,-24
AAA,2014J,381642,877038,-24
AAA,2014J,375260,877053,-24
AAA,2014J,375260,877045,-24
AAA,2014J,375260,877038,-24
AAA,2014J,375260,877025,-24
AAA,2014J,375260,877030,-24
AAA,2014J,375260,877211,-24
AAA,2014J,375260,877228,-24
AAA,2014J,375260,877079,-24
AAA,2014J,315744,877044,-24
AAA,2014J,315744,877076,-24
AAA,2014J,315744,877025,-24
AAA,2014J,315744,877049,-24
AAA,2014J,315744,877053,-24
AAA,2014J,315744,877074,-24
AAA,2014J,315744,877237,-24
AAA,2014J,315744,877065,-24
AAA,2014J,315744,877085,-24
AAA,2014J,315744,877030,-24
AAA,2014J,315744,877045,-24
AAA,2014J,315744,877266,-24
AAA,2014J,315744,877081,-24
AAA,2014J,315744,877245,-24
AAA,2014J,323370,877079,-24
AAA,2014J,323370,877045,-24
AAA,2014J,323370,877044,-24
AAA,2014J,323370,877053,-24
AAA,2014J,323370,877030,-24
AAA,2014J,335764,877025,-24
AAA,2014J,335764,877031,-24
AAA,2014J,335764,877231,-24
AAA,2014J,335764,877038,-24
AAA,2014J,335764,877043,-24
AAA,2014J,335764,877044,-24
AAA,2014J,335764,877095,-24
AAA,2014J,335764,877053,-24
AAA,2014J,335764,877030,-24
AAA,2014J,335764,877077,-24
AAA,2014J,335764,877079,-24
AAA,2014J,335764,877066,-24
AAA,2014J,335764,877069,-24
AAA,2014J,328024,877051,-24
AAA,2014J,328024,877069,-24
AAA,2014J,328024,877066,-24
AAA,2014J,328024,877079,-24
AAA,2014J,328024,877058,-24
AAA,2014J,328024,877237,-24
AAA,2014J,328024,877387,-24
AAA,2014J,328024,877043,-24
AAA,2014J,328024,877038,-24
AAA,2014J,328024,877076,-24
AAA,2014J,328024,877081,-24
AAA,2014J,328024,877053,-24
AAA,2014J,328024,877025,-24
AAA,2014J,328024,877045,-24
AAA,2014J,328024,877030,-24
AAA,2014J,346118,877030,-24
AAA,2014J,346118,877044,-24
AAA,2014J,346118,877043,-24
AAA,2014J,346118,877040,-24
AAA,2014J,346118,877038,-24
AAA,2014J,346118,877045,-24
AAA,2014J,346118,877053,-24
AAA,2014J,346118,877066,-24
AAA,2014J,346118,877069,-24
AAA,2014J,346118,877025,-24
AAA,2014J,346118,877079,-24
AAA,2014J,345519,877030,-24
AAA,2014J,345519,877079,-24
AAA,2014J,345519,877025,-24
AAA,2014J,332884,877237,-24
AAA,2014J,332884,877053,-24
AAA,2014J,332884,877049,-24
AAA,2014J,332884,877030,-24
AAA,2014J,332884,877040,-24
AAA,2014J,58071,877076,-24
AAA,2014J,58071,877045,-24
AAA,2014J,58071,877079,-24
AAA,2014J,58071,877085,-24
AAA,2014J,58071,877081,-24
AAA,2014J,58316,877030,-24
AAA,2014J,58071,877071,-24
AAA,2014J,58071,877025,-24
AAA,2014J,58071,877040,-24
AAA,2014J,58316,877211,-24
AAA,2014J,58071,877038,-24
AAA,2014J,58071,877043,-24
AAA,2014J,58071,877044,-24
AAA,2014J,58071,877028,-24
AAA,2014J,58071,877066,-24
AAA,2014J,58071,877068,-24
AAA,2014J,58071,877069,-24
AAA,2014J,58071,877247,-24
AAA,2014J,58316,877044,-24
AAA,2014J,58071,877151,-24
AAA,2014J,58071,877237,-24
AAA,2014J,58071,877203,-24
AAA,2014J,58071,877142,-24
AAA,2014J,58071,877211,-24
AAA,2014J,58316,877069,-24
AAA,2014J,58316,877053,-24
AAA,2014J,58071,877228,-24
AAA,2014J,58071,877266,-24
AAA,2014J,58071,877180,-24
AAA,2014J,58316,877043,-24
AAA,2014J,58316,877079,-24
AAA,2014J,58316,877066,-24
AAA,2014J,58071,877234,-24
AAA,2014J,58071,877156,-24
AAA,2014J,58316,877038,-24
AAA,2014J,58071,877231,-24
AAA,2014J,58071,877158,-24
AAA,2014J,58071,877152,-24
AAA,2014J,94961,877030,-24
AAA,2014J,94961,877043,-24
AAA,2014J,101116,877030,-24
AAA,2014J,101116,877028,-24
AAA,2014J,101116,877025,-24
AAA,2014J,28061,877053,-24
AAA,2014J,28061,877025,-24
AAA,2014J,28061,877081,-24
AAA,2014J,28061,877030,-24
AAA,2014J,28061,877211,-24
AAA,2014J,28061,877237,-24
AAA,2014J,28061,877231,-24
AAA,2014J,55104,877069,-24
AAA,2014J,55104,877025,-24
AAA,2014J,55104,877053,-24
AAA,2014J,55104,877081,-24
AAA,2014J,55104,877074,-24
AAA,2014J,55104,877038,-24
AAA,2014J,55104,877040,-24
AAA,2014J,55104,877043,-24
AAA,2014J,55104,877044,-24
AAA,2014J,55104,877066,-24
AAA,2014J,55104,877045,-24
AAA,2014J,55104,877076,-24
AAA,2014J,55104,877231,-24
AAA,2014J,55104,877085,-24
AAA,2014J,55104,877079,-24
AAA,2014J,55104,877030,-24
AAA,2014J,75255,877237,-24
AAA,2014J,75255,877038,-24
