code_presentation,code_module,final_result,date_unregistration,num_of_prev_attempts,studied_credits,date_registration,id_student
2013J,AAA,Pass,,0,240,-159,11391
2013J,AAA,Pass,,0,60,-53,28400
2013J,AAA,Withdrawn,12,0,60,-92,30268
2013J,AAA,Pass,,0,60,-52,31604
2013J,AAA,Pass,,0,60,-176,32885
2013J,AAA,Pass,,0,60,-110,38053
2013J,AAA,Pass,,0,60,-67,45462
2013J,AAA,Pass,,0,120,-29,45642
2013J,AAA,Pass,,0,90,-33,52130
2013J,AAA,Pass,,0,60,-179,53025
2013J,AAA,Pass,,0,60,-103,57506
2013J,AAA,Pass,,0,60,-47,58873
2013J,AAA,Pass,,0,60,-59,59185
2013J,AAA,Pass,,0,60,-68,62155
2013J,AAA,Pass,,0,60,-67,63400
2013J,AAA,Withdrawn,96,0,60,-180,65002
2013J,AAA,Pass,,0,60,-95,70464
2013J,AAA,Pass,,0,60,-130,71361
2013J,AAA,Fail,,0,150,-50,74372
2013J,AAA,Pass,,0,60,-107,75091
2013J,AAA,Pass,,0,60,-27,77367
2013J,AAA,Pass,,0,60,-31,91265
2013J,AAA,Withdrawn,72,0,60,-170,94961
2013J,AAA,Pass,,0,60,-107,98094
2013J,AAA,Pass,,0,60,-62,100893
2013J,AAA,Pass,,0,60,-103,101781
2013J,AAA,Pass,,0,60,-107,102806
2013J,AAA,Pass,,0,60,-100,102952
2013J,AAA,Pass,,0,60,-109,104476
2013J,AAA,Withdrawn,175,0,60,5,106247
2013J,AAA,Pass,,0,60,-107,106577
2013J,AAA,Pass,,0,60,-110,110175
2013J,AAA,Pass,,0,60,-43,111717
2013J,AAA,Pass,,0,60,-26,113295
2013J,AAA,Pass,,0,60,-29,114017
2013J,AAA,Pass,,0,60,-68,114999
2013J,AAA,Pass,,0,60,-68,116541
2013J,AAA,Pass,,0,60,-32,116692
2013J,AAA,Pass,,0,120,-99,118983
2013J,AAA,Pass,,0,60,-82,123044
2013J,AAA,Pass,,0,180,-31,127582
2013J,AAA,Withdrawn,135,0,60,-197,129955
2013J,AAA,Pass,,0,120,-75,132976
2013J,AAA,Distinction,,0,60,-96,134143
2013J,AAA,Withdrawn,30,0,180,-29,135335
2013J,AAA,Withdrawn,144,0,60,-32,135400
2013J,AAA,Pass,,0,60,-195,137873
2013J,AAA,Pass,,0,240,-61,141355
2013J,AAA,Withdrawn,129,0,345,-110,141377
2013J,AAA,Pass,,0,60,-37,142326
2013J,AAA,Pass,,0,60,-67,144801
2013J,AAA,Pass,,0,120,-36,145130
2013J,AAA,Fail,,0,60,-132,146188
2013J,AAA,Fail,,0,120,-92,147756
2013J,AAA,Withdrawn,58,0,90,-138,147793
2013J,AAA,Withdrawn,158,0,60,-174,148993
2013J,AAA,Pass,,0,150,-44,151358
2013J,AAA,Pass,,0,420,-16,155550
2013J,AAA,Pass,,0,60,-54,155854
2013J,AAA,Withdrawn,191,0,60,-64,155984
2013J,AAA,Pass,,0,60,-52,157568
2013J,AAA,Withdrawn,123,0,60,-46,159954
2013J,AAA,Pass,,0,60,-64,164259
2013J,AAA,Pass,,0,60,-117,167906
2013J,AAA,Pass,,0,60,-32,168936
2013J,AAA,Pass,,0,60,-50,172112
2013J,AAA,Pass,,0,60,-45,172797
2013J,AAA,Pass,,0,60,-162,174782
2013J,AAA,Pass,,0,60,-195,175392
2013J,AAA,Pass,,0,60,-92,175932
2013J,AAA,Fail,,0,180,-57,175991
2013J,AAA,Pass,,0,120,-64,180753
2013J,AAA,Withdrawn,60,0,120,-39,181316
2013J,AAA,Pass,,0,60,-128,183096
2013J,AAA,Pass,,0,180,-32,183947
2013J,AAA,Pass,,0,170,-74,184271
2013J,AAA,Fail,,0,120,-12,185439
2013J,AAA,Pass,,0,60,-109,186149
2013J,AAA,Distinction,,0,60,-136,187100
2013J,AAA,Withdrawn,60,0,120,-57,188278
2013J,AAA,Pass,,0,120,-180,189879
2013J,AAA,Pass,,0,60,-62,192183
2013J,AAA,Withdrawn,185,0,60,-45,195262
2013J,AAA,Pass,,0,60,-54,200860
2013J,AAA,Withdrawn,166,0,60,-73,202635
2013J,AAA,Pass,,0,60,-68,205350
2013J,AAA,Fail,,0,90,-51,205719
2013J,AAA,Distinction,,0,60,-169,227499
2013J,AAA,Fail,,0,180,-172,227517
2013J,AAA,Pass,,0,60,-31,228082
2013J,AAA,Pass,,0,60,-108,228222
2013J,AAA,Pass,,0,60,-165,229179
2013J,AAA,Pass,,0,60,-58,229361
2013J,AAA,Pass,,0,240,-29,231554
2013J,AAA,Withdrawn,109,0,240,-79,235507
2013J,AAA,Pass,,0,60,2,236284
2013J,AAA,Pass,,0,60,-151,238007
2013J,AAA,Pass,,0,80,-45,240712
2013J,AAA,Pass,,0,120,-47,240884
2013J,AAA,Pass,,0,60,-50,241649
2013J,AAA,Fail,,0,60,-31,241729
2013J,AAA,Pass,,0,60,-36,242793
2013J,AAA,Pass,,0,60,-16,246834
2013J,AAA,Pass,,0,90,-198,248270
2013J,AAA,Pass,,0,60,-103,255548
2013J,AAA,Pass,,0,120,-117,256815
2013J,AAA,Pass,,0,60,-68,258392
2013J,AAA,Pass,,0,60,-172,258894
2013J,AAA,Withdrawn,170,0,60,-186,260355
2013J,AAA,Pass,,0,60,-145,262011
2013J,AAA,Pass,,0,60,-191,262934
2013J,AAA,Fail,,0,90,-33,268073
2013J,AAA,Withdrawn,187,0,180,-17,268733
2013J,AAA,Pass,,0,60,-68,271251
2013J,AAA,Withdrawn,177,0,60,-108,277880
2013J,AAA,Distinction,,0,60,-138,279572
2013J,AAA,Pass,,0,150,-74,281022
2013J,AAA,Fail,,0,60,-64,281250
2013J,AAA,Fail,,0,60,-50,281589
2013J,AAA,Pass,,0,60,-107,282821
2013J,AAA,Pass,,0,60,-8,286488
2013J,AAA,Pass,,0,120,-52,287548
2013J,AAA,Pass,,0,60,-96,290201
2013J,AAA,Pass,,0,60,-141,290757
2013J,AAA,Distinction,,0,60,-132,291334
2013J,AAA,Withdrawn,-121,0,180,-162,292923
2013J,AAA,Pass,,0,120,-27,293699
2013J,AAA,Pass,,0,60,-80,294570
2013J,AAA,Pass,,0,60,-145,294594
2013J,AAA,Fail,,0,240,-17,295741
2013J,AAA,Distinction,,0,60,-115,296332
2013J,AAA,Pass,,0,60,-32,298696
2013J,AAA,Pass,,0,60,-59,300398
2013J,AAA,Fail,,0,60,-83,302302
2013J,AAA,Fail,,0,60,-18,305152
2013J,AAA,Pass,,0,120,-66,305386
2013J,AAA,Withdrawn,-3,0,120,-54,305539
2013J,AAA,Pass,,0,120,-107,306107
2013J,AAA,Pass,,0,60,-58,306466
2013J,AAA,Pass,,0,60,-123,306897
2013J,AAA,Pass,,0,60,-31,307061
2013J,AAA,Pass,,0,60,-107,307866
2013J,AAA,Pass,,0,120,-121,311917
2013J,AAA,Distinction,,0,60,-79,312537
2013J,AAA,Pass,,0,60,-59,312782
2013J,AAA,Pass,,0,120,-100,318933
2013J,AAA,Pass,,0,60,-47,319047
2013J,AAA,Pass,,0,60,-67,321942
2013J,AAA,Pass,,0,60,-32,324002
2013J,AAA,Pass,,0,60,-165,324084
2013J,AAA,Pass,,0,120,-32,324282
2013J,AAA,Withdrawn,53,0,60,-67,331358
2013J,AAA,Pass,,0,60,-64,332789
2013J,AAA,Pass,,0,120,-103,333059
2013J,AAA,Pass,,0,60,-53,333323
2013J,AAA,Fail,,0,150,-32,334259
