id_student,gender,region,highest_education,age_band,disability
11391,M,East Anglian Region,HE Qualification,thired,N
28400,F,Scotland,HE Qualification,second,N
30268,F,North Western Region,A Level or Equivalent,second,Y
31604,F,South East Region,A Level or Equivalent,second,N
32885,F,West Midlands Region,Lower Than A Level,first,N
38053,M,Wales,A Level or Equivalent,second,N
45462,M,Scotland,HE Qualification,first,N
45642,F,North Western Region,A Level or Equivalent,first,N
52130,F,East Anglian Region,A Level or Equivalent,first,N
53025,M,North Region,Post Graduate Qualification,thired,N
57506,M,South Region,Lower Than A Level,second,N
58873,F,East Anglian Region,A Level or Equivalent,first,N
59185,M,East Anglian Region,Lower Than A Level,second,N
62155,F,North Western Region,HE Qualification,first,N
63400,M,Scotland,Lower Than A Level,second,N
65002,F,East Anglian Region,A Level or Equivalent,first,N
70464,F,West Midlands Region,A Level or Equivalent,second,N
71361,M,Ireland,HE Qualification,second,N
74372,M,East Anglian Region,A Level or Equivalent,second,N
75091,M,South West Region,A Level or Equivalent,second,N
77367,M,East Midlands Region,A Level or Equivalent,first,N
91265,M,North Western Region,HE Qualification,first,N
94961,M,South Region,Lower Than A Level,second,N
98094,M,Wales,Lower Than A Level,second,N
100893,M,Yorkshire Region,A Level or Equivalent,first,N
101781,M,South Region,Lower Than A Level,second,N
102806,M,North Western Region,A Level or Equivalent,first,N
102952,M,London Region,HE Qualification,first,N
104476,M,Ireland,Post Graduate Qualification,second,N
106247,M,South Region,HE Qualification,second,N
106577,M,East Midlands Region,Lower Than A Level,first,N
110175,M,East Anglian Region,HE Qualification,second,N
111717,F,East Anglian Region,HE Qualification,second,N
113295,M,Yorkshire Region,Lower Than A Level,second,N
114017,F,North Region,Post Graduate Qualification,second,N
114999,M,Yorkshire Region,HE Qualification,second,N
116541,M,Wales,HE Qualification,first,N
116692,M,East Anglian Region,A Level or Equivalent,second,N
118983,M,East Midlands Region,HE Qualification,first,N
123044,M,South Region,A Level or Equivalent,second,N
127582,F,East Midlands Region,A Level or Equivalent,first,N
129955,M,West Midlands Region,A Level or Equivalent,first,N
132976,F,East Anglian Region,Lower Than A Level,second,N
134143,F,South East Region,A Level or Equivalent,second,N
135335,F,East Anglian Region,Lower Than A Level,first,N
135400,F,South East Region,Lower Than A Level,second,Y
137873,M,South West Region,A Level or Equivalent,second,N
141355,F,East Midlands Region,A Level or Equivalent,first,N
141377,M,South West Region,A Level or Equivalent,first,N
142326,F,North Region,A Level or Equivalent,second,N
144801,F,South Region,HE Qualification,second,N
145130,M,South West Region,HE Qualification,first,N
146188,F,West Midlands Region,A Level or Equivalent,first,Y
147756,M,North Region,Lower Than A Level,first,N
147793,F,North Region,Lower Than A Level,first,N
148993,F,North Western Region,A Level or Equivalent,second,Y
151358,F,London Region,A Level or Equivalent,first,N
155550,M,London Region,A Level or Equivalent,second,N
155854,F,East Midlands Region,A Level or Equivalent,second,N
155984,F,East Anglian Region,Lower Than A Level,first,N
157568,F,South West Region,A Level or Equivalent,first,N
159954,M,East Midlands Region,A Level or Equivalent,second,N
164259,M,Scotland,A Level or Equivalent,first,N
167906,F,Yorkshire Region,A Level or Equivalent,second,N
168936,F,West Midlands Region,Lower Than A Level,second,N
172112,M,Ireland,HE Qualification,second,N
172797,F,Ireland,A Level or Equivalent,second,N
174782,M,East Anglian Region,HE Qualification,thired,N
175392,M,North Region,HE Qualification,second,N
175932,M,North Western Region,HE Qualification,second,N
175991,F,North Western Region,A Level or Equivalent,first,N
180753,M,South West Region,A Level or Equivalent,first,N
181316,F,South West Region,A Level or Equivalent,second,N
183096,F,South West Region,A Level or Equivalent,first,N
183947,M,London Region,A Level or Equivalent,first,N
184271,M,South West Region,HE Qualification,second,N
185439,M,London Region,HE Qualification,first,N
186149,M,Scotland,HE Qualification,second,N
187100,M,South East Region,A Level or Equivalent,second,N
188278,M,Yorkshire Region,A Level or Equivalent,second,N
189879,M,Scotland,A Level or Equivalent,first,N
192183,F,South West Region,Lower Than A Level,first,N
195262,M,London Region,A Level or Equivalent,first,N
200860,M,London Region,Lower Than A Level,second,N
202635,F,Wales,A Level or Equivalent,first,N
205350,M,South West Region,HE Qualification,second,N
205719,M,East Anglian Region,A Level or Equivalent,first,Y
227499,F,London Region,A Level or Equivalent,second,N
227517,M,Ireland,HE Qualification,first,N
228082,M,London Region,HE Qualification,first,N
228222,M,East Midlands Region,Lower Than A Level,first,N
229179,M,West Midlands Region,A Level or Equivalent,first,N
229361,M,East Midlands Region,A Level or Equivalent,first,N
231554,M,London Region,A Level or Equivalent,first,N
235507,M,Yorkshire Region,A Level or Equivalent,first,N
236284,M,Scotland,Post Graduate Qualification,first,N
238007,M,South Region,HE Qualification,thired,N
240712,M,London Region,HE Qualification,first,N
240884,M,South Region,A Level or Equivalent,first,N
241649,M,East Anglian Region,HE Qualification,second,N
241729,F,East Midlands Region,HE Qualification,second,N
242793,M,London Region,HE Qualification,second,N
246834,M,South West Region,A Level or Equivalent,second,N
248270,M,North Western Region,Lower Than A Level,first,N
255548,M,Wales,Lower Than A Level,second,N
256815,M,North Western Region,HE Qualification,first,N
258392,F,West Midlands Region,Lower Than A Level,first,N
258894,F,East Anglian Region,Lower Than A Level,second,N
260355,F,London Region,A Level or Equivalent,second,N
262011,M,East Midlands Region,A Level or Equivalent,second,N
262934,F,North Western Region,A Level or Equivalent,second,N
268073,M,East Anglian Region,A Level or Equivalent,second,N
268733,M,East Anglian Region,A Level or Equivalent,first,N
271251,M,Scotland,A Level or Equivalent,second,N
277880,F,South East Region,A Level or Equivalent,first,N
279572,M,London Region,Lower Than A Level,first,N
281022,F,Scotland,A Level or Equivalent,first,N
281250,M,Wales,Lower Than A Level,second,N
281589,M,North Western Region,HE Qualification,first,N
282821,M,South West Region,A Level or Equivalent,second,N
286488,M,South East Region,A Level or Equivalent,second,N
