code_module,code_presentation,id_student,id_site,date
AAA,2013J,2364471,547001,144
AAA,2013J,172797,546614,194
AAA,2013J,2122180,546654,232
AAA,2013J,2369266,546681,235
AAA,2013J,71361,546883,211
AAA,2013J,101781,546648,155
AAA,2013J,1970390,546739,61
AAA,2013J,1465690,546651,143
AAA,2013J,1976139,546683,227
AAA,2013J,1847830,546658,70
AAA,2013J,1518989,546651,123
AAA,2013J,588775,546614,218
AAA,2013J,144801,546658,102
AAA,2013J,2516503,546650,242
AAA,2013J,45642,546614,-5
AAA,2013J,98094,546907,-10
AAA,2013J,157568,546883,236
AAA,2013J,294570,546692,115
AAA,2013J,420087,546714,19
AAA,2013J,324084,546687,97
AAA,2013J,2555340,546651,218
AAA,2013J,155854,546614,244
AAA,2013J,62155,546614,177
AAA,2013J,498857,546734,35
AAA,2013J,2364471,546697,230
AAA,2013J,172112,546653,203
AAA,2013J,91265,546733,59
AAA,2013J,721259,546652,0
AAA,2013J,949618,546652,1
AAA,2013J,1626710,546644,220
AAA,2013J,134143,546614,-6
AAA,2013J,2457256,546614,55
AAA,2013J,2364471,546654,25
AAA,2013J,94961,546652,-10
AAA,2013J,2153153,546645,20
AAA,2013J,291334,546650,103
AAA,2013J,11391,546614,210
AAA,2013J,1765788,546655,78
AAA,2013J,2369266,546719,-6
AAA,2013J,1889577,546614,83
AAA,2013J,969076,546658,74
AAA,2013J,2364471,546645,15
AAA,2013J,2011876,546702,55
AAA,2013J,335764,546657,16
AAA,2013J,376439,546966,225
AAA,2013J,123044,546614,57
AAA,2013J,319047,546668,227
AAA,2013J,1765788,546649,184
AAA,2013J,58873,546736,204
AAA,2013J,291334,546654,60
AAA,2013J,2143752,546614,157
AAA,2013J,2689958,546655,91
AAA,2013J,306107,546738,34
AAA,2013J,2011876,547032,150
AAA,2013J,186149,547013,72
AAA,2013J,958987,546614,17
AAA,2013J,2339528,546614,171
AAA,2013J,319047,546652,-4
AAA,2013J,2182846,546650,22
AAA,2013J,238007,546614,168
AAA,2013J,1765788,546686,78
AAA,2013J,345357,546716,70
AAA,2013J,277880,546653,114
AAA,2013J,144801,546650,206
AAA,2013J,312537,546651,171
AAA,2013J,2645733,546686,127
AAA,2013J,2516503,546649,183
AAA,2013J,168936,546614,242
AAA,2013J,282821,546614,176
AAA,2013J,949618,546654,35
AAA,2013J,155854,546614,101
AAA,2013J,147756,546688,14
AAA,2013J,1847830,546654,154
AAA,2013J,1970390,546654,24
AAA,2013J,1763015,546714,-4
AAA,2013J,180753,546671,122
AAA,2013J,58873,546657,52
AAA,2013J,2364471,546651,133
AAA,2013J,296332,546614,231
AAA,2013J,331358,546657,12
AAA,2013J,104476,546676,86
AAA,2013J,101781,546662,-8
AAA,2013J,174782,546655,91
AAA,2013J,142326,547017,230
AAA,2013J,444677,546656,201
AAA,2013J,102806,546654,153
AAA,2013J,2645733,546733,35
AAA,2013J,588775,546672,197
AAA,2013J,368824,547017,233
AAA,2013J,296332,546651,143
AAA,2013J,262934,546894,114
AAA,2013J,2641155,546614,151
AAA,2013J,188278,546647,42
AAA,2013J,905042,546684,24
AAA,2013J,1758449,546719,-10
AAA,2013J,38053,546659,0
AAA,2013J,104476,546697,176
AAA,2013J,2598871,546676,211
AAA,2013J,319047,546649,203
AAA,2013J,1942396,546731,11
AAA,2013J,2143752,546644,217
AAA,2013J,1758449,546645,14
AAA,2013J,2364471,546650,116
AAA,2013J,183096,546711,218
AAA,2013J,429958,546696,117
AAA,2013J,705379,546614,45
AAA,2013J,127582,546667,25
AAA,2013J,1626710,546651,169
AAA,2013J,268073,546657,63
AAA,2013J,45642,546657,33
AAA,2013J,342972,546900,14
AAA,2013J,401869,546614,27
AAA,2013J,2566163,546713,170
AAA,2013J,2694424,546736,212
AAA,2013J,114999,546883,201
AAA,2013J,324084,546654,41
AAA,2013J,1894188,546667,5
AAA,2013J,402470,546668,39
AAA,2013J,2229865,546655,73
AAA,2013J,2685865,546654,5
AAA,2013J,2578995,546683,153
AAA,2013J,2666246,546713,213
AAA,2013J,354858,546654,1
AAA,2013J,2566163,546651,165
AAA,2013J,296332,546662,-4
AAA,2013J,231554,546732,14
AAA,2013J,281022,546614,116
AAA,2013J,2639540,546732,219
AAA,2013J,749412,546614,7
AAA,2013J,1518989,546614,236
AAA,2013J,344282,546614,212
AAA,2013J,343446,546657,21
AAA,2013J,258392,546670,98
AAA,2013J,2229865,546649,174
AAA,2013J,2685865,546654,190
AAA,2013J,268073,546648,175
AAA,2013J,262934,546894,39
AAA,2013J,441888,546614,5
AAA,2013J,296332,546695,116
AAA,2013J,2532302,546687,187
AAA,2013J,277880,546614,163
AAA,2013J,2555340,546713,203
AAA,2013J,365642,546733,223
AAA,2013J,1889577,546614,14
AAA,2013J,184271,546686,116
AAA,2013J,287548,546671,116
AAA,2013J,260355,546682,117
AAA,2013J,268073,546645,18
AAA,2013J,296332,546685,108
AAA,2013J,333059,546684,214
AAA,2013J,268073,546655,90
AAA,2013J,295741,546654,16
AAA,2013J,144801,546614,240
AAA,2013J,2182846,546614,229
AAA,2013J,1889577,546650,0
AAA,2013J,442442,546652,-4
AAA,2013J,300398,546676,74
AAA,2013J,705379,546733,223
AAA,2013J,45642,546652,33
AAA,2013J,2566163,547017,165
AAA,2013J,2694424,546614,167
AAA,2013J,704156,546614,66
AAA,2013J,2139353,546614,110
AAA,2013J,75091,546654,51
AAA,2013J,2639540,546650,132
AAA,2013J,2153153,546739,73
AAA,2013J,2557283,546614,129
AAA,2013J,2062879,546644,226
AAA,2013J,1847830,546644,201
AAA,2013J,262934,546614,176
AAA,2013J,2649826,546614,-6
AAA,2013J,2536991,546654,19
AAA,2013J,58873,546883,183
AAA,2013J,2412002,546652,-1
AAA,2013J,2457256,546614,136
AAA,2013J,205350,546659,8
AAA,2013J,52130,546658,112
AAA,2013J,1889577,547017,191
AAA,2013J,1518989,546883,50
AAA,2013J,2369266,546614,18
AAA,2013J,255548,546733,33
AAA,2013J,346025,546654,246
AAA,2013J,760729,546614,94
AAA,2013J,241649,546696,64
AAA,2013J,134143,546733,23
AAA,2013J,1402638,546696,96
AAA,2013J,2671132,546691,163
AAA,2013J,1518989,546656,183
AAA,2013J,1626710,546948,74
AAA,2013J,2689958,546614,217
AAA,2013J,248270,546650,180
AAA,2013J,238007,546894,152
AAA,2013J,144801,546734,227
AAA,2013J,2694424,546649,208
AAA,2013J,2649826,546655,72
AAA,2013J,291334,546680,12
AAA,2013J,2062879,546644,243
AAA,2013J,2208424,546883,12
AAA,2013J,306897,546650,116
AAA,2013J,100893,547017,100
AAA,2013J,2598871,546739,211
AAA,2013J,544103,546655,104
AAA,2013J,1938355,546666,31
AAA,2013J,91265,546966,242
AAA,2013J,1456619,546614,0
AAA,2013J,2437837,546671,158
AAA,2013J,2122180,546651,174
AAA,2013J,331358,546659,7
AAA,2013J,57506,546614,2
AAA,2013J,102952,546732,17
AAA,2013J,319047,546655,105
AAA,2013J,2268379,546650,60
AAA,2013J,236284,546683,163
AAA,2013J,227499,546614,130
AAA,2013J,102806,546670,97
AAA,2013J,603861,546614,174
AAA,2013J,2557283,546650,119
AAA,2013J,183096,546671,121
AAA,2013J,291334,546656,213
AAA,2013J,38053,546644,243
AAA,2013J,175392,546668,11
AAA,2013J,2412967,546883,159
AAA,2013J,116692,546697,191
AAA,2013J,174782,546614,93
AAA,2013J,256815,546614,-1
AAA,2013J,31604,546657,23
AAA,2013J,2516503,546644,221
AAA,2013J,306466,546697,190
AAA,2013J,2516503,546648,135
AAA,2013J,2122180,546652,-8
AAA,2013J,2364471,546658,76
AAA,2013J,1488959,546654,242
AAA,2013J,376439,546650,68
AAA,2013J,2143752,546686,102
AAA,2013J,45462,546694,144
AAA,2013J,200860,546614,227
AAA,2013J,137873,546650,136
AAA,2013J,2689958,546650,111
AAA,2013J,2671132,546683,151
AAA,2013J,102806,546911,36
AAA,2013J,1640609,546651,143
AAA,2013J,1640609,546614,55
AAA,2013J,2062879,546657,23
AAA,2013J,2149225,546652,-10
AAA,2013J,2437837,546674,72
AAA,2013J,343446,546645,26
AAA,2013J,342007,546614,36
AAA,2013J,63400,546650,177
AAA,2013J,345357,546671,131
AAA,2013J,91265,546684,32
AAA,2013J,174782,546883,122
AAA,2013J,70464,546614,17
AAA,2013J,2182846,546650,216
AAA,2013J,1640609,546614,173
AAA,2013J,2268379,546647,46
AAA,2013J,2639641,546656,206
AAA,2013J,342514,546662,-3
AAA,2013J,1942396,546614,215
AAA,2013J,227499,546657,21
AAA,2013J,2312620,546692,164
AAA,2013J,398552,546658,83
AAA,2013J,749412,546614,49
AAA,2013J,760729,546655,63
AAA,2013J,202635,546657,16
AAA,2013J,508818,546657,22
AAA,2013J,2293923,546667,-10
AAA,2013J,1860318,546716,65
AAA,2013J,392931,546654,236
AAA,2013J,238007,546614,86
AAA,2013J,113295,546685,173
AAA,2013J,2412967,546644,239
AAA,2013J,321942,546654,153
AAA,2013J,760729,546651,140
AAA,2013J,1801229,546675,116
AAA,2013J,2268379,546685,189
AAA,2013J,749412,546657,233
AAA,2013J,296332,546614,216
AAA,2013J,2678643,546883,204
AAA,2013J,2689958,546648,153
AAA,2013J,312537,546644,231
AAA,2013J,749412,546654,133
AAA,2013J,1105478,546614,266
AAA,2013J,319047,546655,117
AAA,2013J,318933,546883,-2
AAA,2013J,2694424,546732,220
AAA,2013J,2460080,546614,219
AAA,2013J,2691206,546696,237
AAA,2013J,172112,546681,63
AAA,2013J,241729,546647,52
AAA,2013J,390890,546654,2
AAA,2013J,291334,546692,226
AAA,2013J,978739,546930,108
AAA,2013J,155550,546654,92
AAA,2013J,242793,546656,213
